timestamp,id,marker_x,deltaX
1764084428.128969,8.0,1065.25,425.25
1764084428.198966,8.0,1065.5,425.5
1764084428.266388,8.0,1054.0,414.0
1764084428.2979991,8.0,1046.25,406.25
1764084428.332515,8.0,1037.0,397.0
1764084428.36656,8.0,1027.25,387.25
1764084428.4027898,8.0,1018.75,378.75
1764084428.4364731,8.0,1011.5,371.5
1764084428.471304,8.0,1004.0,364.0
1764084428.504843,8.0,996.5,356.5
1764084428.539535,8.0,985.0,345.0
1764084428.574263,8.0,973.5,333.5
1764084428.6088068,8.0,966.5,326.5
1764084428.64561,8.0,961.5,321.5
1764084428.678358,8.0,958.5,318.5
1764084428.713842,8.0,957.0,317.0
1764084428.785708,8.0,957.75,317.75
1764084428.852354,8.0,955.75,315.75
1764084428.92292,8.0,952.5,312.5
1764084428.9919412,8.0,954.0,314.0
1764084429.059936,8.0,955.25,315.25
1764084429.129262,8.0,953.0,313.0
1764084429.1944902,8.0,952.75,312.75
1764084429.22994,8.0,952.0,312.0
1764084429.2638102,8.0,951.0,311.0
1764084429.297963,8.0,950.0,310.0
1764084429.332622,8.0,949.75,309.75
1764084429.366334,8.0,949.5,309.5
1764084429.40055,8.0,950.0,310.0
1764084429.436264,8.0,950.0,310.0
1764084429.4697978,8.0,949.75,309.75
1764084429.504301,8.0,950.25,310.25
1764084429.541457,8.0,952.0,312.0
1764084429.5756202,8.0,953.75,313.75
1764084429.607924,8.0,956.5,316.5
1764084429.6426601,8.0,962.5,322.5
1764084429.6770098,8.0,969.25,329.25
1764084429.713829,8.0,977.75,337.75
1764084429.782783,8.0,988.0,348.0
1764084429.852074,8.0,993.75,353.75
1764084429.920649,8.0,988.75,348.75
1764084429.990937,8.0,985.75,345.75
1764084430.058284,8.0,987.0,347.0
1764084430.128103,8.0,987.25,347.25
1764084430.195735,8.0,987.0,347.0
1764084430.2292202,8.0,987.5,347.5
1764084430.263572,8.0,988.75,348.75
1764084430.297312,8.0,988.0,348.0
1764084430.3320808,8.0,986.5,346.5
1764084430.4022799,8.0,984.75,344.75
1764084430.43413,8.0,985.25,345.25
1764084430.4677172,8.0,987.25,347.25
1764084430.502827,8.0,989.25,349.25
1764084430.5399868,8.0,990.25,350.25
1764084430.5710561,8.0,990.0,350.0
1764084430.606125,8.0,988.75,348.75
1764084430.64353,8.0,988.25,348.25
1764084430.677213,8.0,988.5,348.5
1764084430.7096698,8.0,990.0,350.0
1764084430.7459369,8.0,991.75,351.75
1764084430.7801821,8.0,991.75,351.75
1764084430.813935,8.0,991.25,351.25
1764084430.847735,8.0,990.0,350.0
1764084430.8820531,8.0,989.5,349.5
1764084430.915575,8.0,989.25,349.25
1764084430.954973,8.0,989.75,349.75
1764084430.9839768,8.0,990.0,350.0
1764084431.019687,8.0,990.25,350.25
1764084431.05342,8.0,990.0,350.0
1764084431.088919,8.0,989.75,349.75
1764084431.123111,8.0,989.5,349.5
